Polyjuice,48,1,548.8766,0.11464134000000001
Polyjuice,48,2,955.4505999999999,0.0925979
Polyjuice,48,4,585.7180000000001,0.3805668
Polyjuice,48,8,983.3188,0.183538
Polyjuice,48,16,7292.0419999999995,0.04828482
Polyjuice,48,48,740727.8,4.4402060000000004e-05
Silo,48,1,32354.8,0.4122364
Silo,48,2,64620.880000000005,0.36413599999999996
Silo,48,4,119738.4,0.3049072
Silo,48,8,242436.2,0.233909
Silo,48,16,443722.6,0.1379252
Silo,48,48,823182.4,3.6089660000000005e-05
2PL,48,1,2835.722,0.0
2PL,48,2,4880.5380000000005,0.0
2PL,48,4,11373.866,0.0
2PL,48,8,12578.259999999998,0.0
2PL,48,16,6520.084,3.851018e-06
2PL,48,48,584132.8,3.430184e-08
